ID,Question,Category,Expected_Answer_Source,Expected_Answer,Answer_Type,Evaluation_Metric
Q01,What is the difference between regulatory compliance and corporate compliance?,General,compliance_overview.pdf,"Regulatory compliance refers to adhering to external laws and regulations while corporate compliance focuses on internal policies and procedures.",Short Text,Semantic similarity
Q02,Why is compliance documentation important in financial institutions?,General,compliance_overview.pdf,"It ensures traceability, accountability, and helps meet legal audit requirements.",Short Text,Semantic similarity
Q03,Who is responsible for monitoring compliance within an organization?,General,roles_and_responsibilities.pdf,"The compliance officer and internal audit teams are primarily responsible.",Short Text,Exact match
Q04,What are some common compliance risks faced by startups?,General,compliance_risks.pdf,"Data protection lapses, improper tax filing, and lack of employee documentation.",Short Text,Semantic similarity
Q05,Explain the role of internal audits in compliance management.,General,internal_audit_policy.pdf,"Internal audits identify policy breaches and assess adherence to compliance controls.",Descriptive,Groundedness
Q06,Which regulations govern data privacy in India?,Policy,dpdp_act_2023.pdf,"The Digital Personal Data Protection Act 2023 governs data privacy in India.",Factual,Exact match
Q07,What does GDPR require companies to do when collecting personal data?,Policy,gdpr_summary.pdf,"GDPR mandates consent, transparency, and lawful processing of personal data.",Factual,Semantic similarity
Q08,List key provisions of the Companies Act 2013 related to compliance.,Policy,companies_act_2013.pdf,"Annual financial reporting, board disclosures, and statutory audit requirements.",List,Exact match
Q09,What are the main objectives of SEBI (Prohibition of Insider Trading) Regulations 2015?,Policy,sebi_regulations.pdf,"To prevent insider trading and ensure fair market practices.",Descriptive,Groundedness
Q10,What are the penalties for non-compliance under the FCRA Act?,Policy,fcra_act.pdf,"Fines up to ₹10 lakh and suspension or cancellation of registration.",Factual,Exact match
Q11,Summarize the compliance checklist for vendor onboarding.,Document Retrieval,vendor_onboarding_checklist.pdf,"KYC verification, contract review, anti-bribery declaration, and approval from legal.",Summary,Retrieval accuracy
Q12,Show me the policy on whistleblower protection.,Document Retrieval,whistleblower_policy.pdf,"It ensures anonymity and safeguards employees reporting unethical behavior.",Extractive,Retrieval accuracy
Q13,Retrieve clauses from the HR policy related to employee data confidentiality.,Document Retrieval,hr_policy.pdf,"Employees must not share confidential data outside the organization.",Extractive,Groundedness
Q14,What are the key points in the Anti-Money Laundering (AML) guideline document?,Document Retrieval,aml_guidelines.pdf,"Customer verification, record maintenance, and reporting of suspicious transactions.",Summary,Retrieval accuracy
